"fr_id","fr_name","en_id","en_name","set","methode"
"06ad5b20-fd7c-4fc1-aaaf-649b553ecee4","Le Marin Meurtrier","9adaed90-ed0b-4587-b6a4-e464ea86f7be","The Murderous Sailor","Lost Moorings","illustration"
"b4e2d395-5af7-4702-8806-af7690e0ffcc","Murmures des Profondeurs","bc9df08b-e383-4791-adc1-2145bc393bc5","Whispers From the Water","Lost Moorings","illustration"
"b896f967-d8ba-4a0f-8899-3120731bf988","Piste Froide","385bb8b9-0af1-4627-8e9e-ef77003f73ba","Cold Trail","Lost Moorings","illustration"
"8a0b3508-1bfc-421e-bf58-90a56dcc35be","Transi jusqu'aux Os","afd44a62-ede2-4c65-9fc7-97c594cf3ef3","Chilled to the Bone","Lost Moorings","illustration"
"2c96f71c-d5ca-4449-8f9c-780d3fd5dcfa","Traqueur Englouti","93a1b1ad-03a0-433d-8b7e-db7d75b5b088","Drowning Stalker","Lost Moorings","illustration"
"8117981e-737d-4482-b7af-d06b4311d58d","Tempête dans la Nuit Noire","100b769b-5564-4131-bc2a-68d8d87da9db","A Dark and Stormy Night","Lost Moorings","illustration"
"9125ba4c-0d57-4816-b96f-37ec20a36ad3","Eaux Troubles","8cd49064-73ea-4230-9ece-49422f093256","Churning Waters","Lost Moorings","illustration"
"ee28e5f6-07c3-4efe-81f3-84d67fefbc40","Rêves Lointains","bc5119b2-ee79-4bf0-8461-0ba6e70f9c34","Distant Dreams","Lost Moorings","illustration"
"d5ea4f90-1408-4154-83c0-ad2564d5649d","Ce que le Soutier a Vu","5486c9fe-2283-4b9f-b289-ea7cf4f65287","What the Stoker Saw","Lost Moorings","illustration"
"33ed5b98-cdf3-4f8c-b962-c219ba6817c2","Berges de la Rivière","6b1cb59b-0576-45f2-a42b-9be51b458cfe","Waterfront","Lost Moorings","illustration"
"378ef3e1-fc7e-490b-90d1-10f03d4a7890","Cales Sèches","06e12e6a-fd56-4137-9260-d3abcc67b7d9","Drydocks","Lost Moorings","illustration"
"8c06a82a-6ee6-474f-b7ba-66e4f5d08273","Entrepôts de Pêche","6f0f8e60-575f-428f-988b-1bfe7ad01307","Shipping Warehouses","Lost Moorings","illustration"
"3cf4d719-c12d-4075-8ad8-cb01a22d5daf","La Truite Éventrée","10a73760-e954-4bc7-ae90-a5797b54bb91","The Gutted Trout","Lost Moorings","illustration"
"657fd443-2b6d-4da0-983d-308c7990d083","Pont Principal","ed90da52-3f86-4f7b-a2a9-b27bde5ba022","Main Deck","Lost Moorings","illustration"
"a41d7119-d0cb-41bd-94ce-36739561499c","Quais de Pêche","778f6f97-2cb6-48b0-9e66-6137ea2a46a4","Fishing Piers","Lost Moorings","illustration"
"aa4bb69a-7dfe-4579-accf-3533fe3f586f","Quai d'Arkham","118ed242-80c8-41e8-9204-b571840db231","Arkham Quay","Lost Moorings","illustration"
"d77762c3-2512-43e0-a041-1f0233c1d998","Salle des Machines","ec2041ed-c829-4128-b21c-6f5a4e3c698f","Engine Room","Lost Moorings","illustration"
"3b62341f-01b6-4ba9-97c4-dbf1dbc21bd2","Timonerie","b9e44159-281e-4c03-9c18-190b5dbd3b5d","Wheelhouse","Lost Moorings","illustration"
"2fe6621a-9539-453a-9789-7bdcf4657505","Concurrence Agressive","a5b732ca-fc89-496b-912e-5261622000f6","Covetous Competitor","Going Twice","illustration"
"f80e31a5-d72e-4c15-84d3-e5297b623409","Garder la Main","91304a5d-c7a0-4d28-8c83-26d2960ebae1","Keeping Tabs","Going Twice","illustration"
"0bc28558-7412-44fd-a4ce-b867167357d4","La Folie des Enchères","4e08b631-fdd3-4a1d-b925-fc33014ca3dc","Bidding War","Going Twice","illustration"
"942c2020-a3b7-41b5-97ed-170ed124819b","Pickpocket","85080674-7ae9-40aa-b6dc-4c470fc1b3be","Pickpocket","Going Twice","illustration"
"f5de4ef6-1b9a-4ec7-9071-3a6e403f18f2","Sentinelle des O'Bannion","6043a661-661b-4665-a44c-85209cd8ce50","O'Bannion Sentry","Going Twice","illustration"
"94b9889f-1d81-4a74-9125-bb5954bb01bc","Surveillant de la Salle des Ventes","98cdf53a-f249-4254-9fa2-05ccdac02bfe","Auction Security","Going Twice","illustration"
"642385cf-f650-4ad7-a612-935d7f8f8f66","Ernie Vickers","ac979a24-f158-4950-a864-b434cc028cc7","Ernie Vickers","Going Twice","illustration"
"282e6f8c-88a7-4296-af4c-55e159527c62","Idole Pervertie","a2b90316-d5dd-4d48-abce-85bbb3b0e888","Warped Idol","Going Twice","illustration"
"4ef58d45-7f19-4890-9575-f47bdc22a036","Sous Couverture","dffcc6d6-1469-4792-ba36-09f1cf7e2f0c","Cover Charge","Going Twice","illustration"
"99bd2ac6-39be-4c15-be23-d25242522400","Fin de la Vente (v. I)","0b3c969e-400b-48ff-a2f2-73456de0aea5","Sold Out (v. I)","Going Twice","illustration"
"c8e265cd-77be-4bdf-af7a-b7a66ae2a5d1","Fin de la Vente (v. II)","958a60d2-375c-4504-b43a-3741dfa60c48","Sold Out (v. II)","Going Twice","illustration"
"dc750f85-8923-40e8-a8b3-72558faf6358","Lot d'Enchères","77b22079-83e3-4e95-948a-34a93fa669bc","Auction Lot","Going Twice","illustration"
"1ea7dcf3-60e0-4541-af7e-24a4859b079a","Lot d'Enchères","6ab78f00-b303-4dc0-ae91-f69bd202d921","Auction Lot","Going Twice","illustration"
"14734af1-98a9-4192-bb12-3e0b3ea851df","Lot d'Enchères","6fd9cbf4-f2ac-4c34-add8-5013deb60b5c","Auction Lot","Going Twice","illustration"
"0176ef82-c4a9-4606-96f8-fd46467ccab6","Lot d'Enchères","64fc7cd3-0d31-4a44-bc98-91ffeeea763b","Auction Lot","Going Twice","illustration"
"fa86a15c-33a5-4e78-96fe-0e061ef3c887","Lot d'Enchères","74b2a099-4c86-4766-a4e4-c768c7ade3d2","Auction Lot","Going Twice","illustration"
"9351aeb4-e5ea-4a5c-af05-4a5e5279b244","Lot d'Enchères","608242ce-533c-42c9-ae22-aead653f6f1d","Auction Lot","Going Twice","illustration"
"092d6d2f-0a98-4384-9131-291b9e63dadd","Lot d'Enchères","1d628ed1-a420-47f9-a056-4b6d9936d0a7","Auction Lot","Going Twice","illustration"
"fdd95e31-6a35-4e01-a787-f94c13c56854","Lot d'Enchères","534564da-3f70-4426-aa66-239e4ea1f781","Auction Lot","Going Twice","illustration"
"842635c2-2ce6-4f91-81b1-14553305731e","Nora Shanley","aacb4674-7396-422d-a49a-e1ffec86570d","Nora Shanley","Going Twice","illustration"
"76906100-0aeb-4415-bdfc-564c908fa6e8","Antichambre Privée","5c36d92d-d656-4afa-946d-f2366c62f065","Private Lobby","Going Twice","illustration"
"900dac41-423b-4602-a890-c25344f835bb","Bureau de la Courtière","5bd555b6-8735-4fc7-ba91-01e3bc9bfd46","Broker's Office","Going Twice","illustration"
"fc4025c8-e16c-4995-9a51-21ed2dfe720a","Chambre Forte","9bc336ee-fbe0-4502-990c-e68683b6ccef","Storage Vault","Going Twice","illustration"
"6e7c593c-409d-4c4b-9e3c-2042ca2323ab","Couloir de Service","ccd91d54-8817-4e6e-b693-2188fadc9996","Service Corridor","Going Twice","illustration"
"8c853190-5387-4678-baa6-104a16ec8f68","Fumoir","55895b14-c56f-4c8a-9bb3-6ee37477cc4e","Smoking Lounge","Going Twice","illustration"
"87ad0b58-7fff-4654-86d7-1af42418a85d","Salle des Ventes","c5d7566a-c8bf-4b29-b286-d537a5ef1426","Auction Hall","Going Twice","illustration"
"300ac820-d811-49aa-80c9-e22d50649500","Salle d'Exposition","02d6aa90-2578-4680-a07e-cd61349cb844","Display Room","Going Twice","illustration"
"45ffaadf-bb05-4219-86a5-2b4876109159","Attaque Surprise","71a26982-b0ac-4e12-8dd8-216bb007a5e8","Covert Attack","Private Lives","illustration"
"5d6d27b6-08d0-43ca-a925-6e9727642ee4","Chiffrement Obscur","29e46bb0-7350-4b33-96c0-da7674461c8c","Obscure Cipher","Private Lives","illustration"
"3dbac0d6-067a-4393-be3b-d8b2f8ffcc85","Nettoyeur","3c81e6ff-f7a2-44d0-91c2-baa10cbb47f1","Cleaner","Private Lives","illustration"
"dff0d5be-fb9f-4588-9f5e-5dd140f85192","Pièces Manquantes","0b451642-b7e2-470a-9bcc-a2f958b41c1c","Missing Pieces","Private Lives","illustration"
"5ec93a29-0562-43ac-b5d1-f000235212af","Pyromane","0d89da4d-8a3f-4961-ba2a-5a06a19b9c8e","Arsonist","Private Lives","illustration"
"44620a99-7632-4e9e-aa8b-1f424b8f36a3","Bague de Wycliffe","049a9a5c-8407-449b-bc48-d5e6cc68219b","Wycliffe's Ring","Private Lives","illustration"
"cc32ce47-3f04-41e6-888b-4438ff11c94b","Crime en Cours (v. I)","44010bf4-0e53-4c9d-9734-dcae7c4407de","Active Crime Scene (v.I)","Private Lives","illustration"
"5942b0ac-935b-4c2c-8f77-aa245bc51a48","Crime en Cours (v. II)","627ab010-beec-4cf1-b0e6-1b586d97c1aa","Active Crime Scene (v.II)","Private Lives","illustration"
"25ed3250-7d15-489f-b7f1-9008b5b6478f","Nettoyage par le Feu","0e6a6848-09a0-4355-bba2-483fce9fb5ff","Burn Notice","Private Lives","illustration"
"282eff4d-9237-4def-89f0-fd6216656506","Bureau","947347f6-78e5-4c64-ba44-3962d30c9635","Drafting Room","Private Lives","illustration"
"a5d2ecb2-2c78-4360-aedb-a24d17d34714","Chambre Principale","b9e55193-8004-4f61-8ee0-665551bce93e","Master Bedroom","Private Lives","illustration"
