"id","name","encounter_number","encounter_set"
"c58d1ef7-bb52-46cc-86d6-15513d714020","Asthénie","58","2d3bf943-cab1-4707-a45d-85a3a364aa05"
"5f27e494-2886-4d94-89ac-d97ec1fd6ce6","Asthénie","59","2d3bf943-cab1-4707-a45d-85a3a364aa05"
"ffe11232-789c-4aae-9d32-464a8336e935","Asthénie","60","2d3bf943-cab1-4707-a45d-85a3a364aa05"
"5dd65695-55d8-4f26-aa68-45e06c7739b6","Territoire Étranger","62","2d3bf943-cab1-4707-a45d-85a3a364aa05"
"8a3fea2d-4abb-4afd-ae57-319cef222705","Territoire Étranger","63","2d3bf943-cab1-4707-a45d-85a3a364aa05"
"9b3393e1-607c-4c48-b3c8-c2647477d0dc","À vos Trousses","65","2d3bf943-cab1-4707-a45d-85a3a364aa05"
"7c2c2aee-f889-4197-802f-6ec0344e4571","Aiguille Cachée","67","2d3bf943-cab1-4707-a45d-85a3a364aa05"
"6aaeca79-0411-4161-9030-b658ffb40ae6","Aiguille Cachée","68","2d3bf943-cab1-4707-a45d-85a3a364aa05"
"3869ad00-f20b-48f3-9b5c-b5d90bf5456b","Fermer la Nasse","70","2d3bf943-cab1-4707-a45d-85a3a364aa05"
"6b844952-0faf-4c81-b247-4315881b0c57","Fléaux Archaïques","1","f7965174-c981-4980-9e3f-b38994455e1a"
"f7bbdd22-02fc-48de-adc4-599e83824bf0","Fléaux Archaïques","3","f7965174-c981-4980-9e3f-b38994455e1a"
"18f2b39b-cf72-448c-b6c7-32379c1531a1","Mystérieux Géomètre","1","1b4d7b59-a146-49c4-a9a8-8faf40d0a502"
"4b0a07f2-6615-4b52-961a-1b8d9569c91c","Architecte Fou","5","1b4d7b59-a146-49c4-a9a8-8faf40d0a502"
"82b4960a-1cd2-495f-9d6d-f99c910c08e8","Sceaux Hyperboliques","3","1b4d7b59-a146-49c4-a9a8-8faf40d0a502"
"cc5aab41-4ca7-4d39-ad0e-1355f58e1d2b","Rêveur Psychotique","4","2280f882-7632-4760-8935-5b82fd64d914"
"eb26ca24-2320-4978-b15a-5d224309b4c5","Hallucinations Grotesques","2","2280f882-7632-4760-8935-5b82fd64d914"
"265a73ea-5518-45cb-8def-3c6bf7609f9c","Tisseur d'Entrave","34","f2bbadff-8ead-4466-b3d6-9c6ae06ee573"
"aa04d390-92d4-4a35-a273-511412ab89fb","Basiphobie","23","f2bbadff-8ead-4466-b3d6-9c6ae06ee573"
"81edd705-a66b-4e2d-9ef0-79720cb2cdfd","Basiphobie","24","f2bbadff-8ead-4466-b3d6-9c6ae06ee573"
"96139c0a-3dc4-4c14-98bc-6279a3db21a4","Structure d'Emprisonnement","26","f2bbadff-8ead-4466-b3d6-9c6ae06ee573"
"e42d3c6b-94b0-42f6-9e40-d6e5d954aedd","Pensées Fragmentaires","28","f2bbadff-8ead-4466-b3d6-9c6ae06ee573"
"76a60883-0380-4c78-a956-e11d15d28782","Barrière Pulsatile","31","f2bbadff-8ead-4466-b3d6-9c6ae06ee573"
"47cc9810-fa36-4d17-9826-4cf9730ffdca","Barrière Pulsatile","32","f2bbadff-8ead-4466-b3d6-9c6ae06ee573"
"6cb01e93-3b16-44d5-8116-87b403f3563d","Agent Dormant","44","730e2804-52e9-4a16-aa27-ee4f97527174"
"066d49f0-eae2-4563-992d-e45bfe1cff60","Fait comme un Rat","32","730e2804-52e9-4a16-aa27-ee4f97527174"
"34a9d8be-0fca-4f83-bdb8-3b7a6fdb3be4","Fait comme un Rat","33","730e2804-52e9-4a16-aa27-ee4f97527174"
"375207aa-1782-469f-ba9f-119a62dbd620","Suspects Dogmatiques","35","730e2804-52e9-4a16-aa27-ee4f97527174"
"d4e25915-434c-44c2-858a-7b61699c3d4d","Suspects Dogmatiques","36","730e2804-52e9-4a16-aa27-ee4f97527174"
